State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,158846.80,166469.00,172975.20,174526.30,170930.90,177249.20,183916.60,189245.50,194786.90,197406.90,202372.40,207368.40,214606.30,223859.30,231561.90,230892.10,254109.70,277817.50
Alaska,40356.60,45094.10,49583.70,55122.50,49957.80,53331.60,56896.30,58283.60,57247.70,56484.90,51490.90,50727.70,53301.50,54899.60,54728.20,50475.20,57349.40,63618.00
Arizona,227915.90,245957.00,261392.00,262926.00,246424.30,251153.00,260915.70,271440.00,278591.60,287666.60,299393.30,313081.40,332001.80,351879.50,372393.50,382072.30,420026.70,458949.80
Arkansas,90887.70,95875.10,98381.60,99706.80,97508.10,101486.50,105768.10,108492.10,113227.30,116139.40,117786.80,119152.40,122466.70,127535.70,131578.30,133969.10,148676.10,165220.60
California,1698560.40,1812210.00,1898902.00,1944695.30,1890165.90,1954092.70,2023500.00,2113096.40,2220389.90,2335286.50,2473555.90,2569634.00,2728743.10,2897200.70,3042694.10,3020173.40,3373240.70,3598102.70
Colorado,220783.70,232646.70,248446.50,258871.70,251227.70,258300.20,267516.10,276823.10,292140.50,309542.60,320721.10,329911.70,349156.50,372212.10,394534.70,391263.30,436359.50,484371.50
Connecticut,205214.60,219768.40,234540.70,238936.80,233290.70,234700.00,233158.70,240911.90,241517.40,246597.00,259487.80,263670.30,271443.20,279923.00,288536.30,276223.30,298395.20,321844.60
Delaware,52153.50,55174.40,56612.80,55459.80,57849.70,58163.50,61372.20,62354.60,61716.20,68354.70,71913.90,69355.00,68302.50,72168.30,76923.70,75818.60,81160.00,87524.80
District of Columbia,84867.60,88125.00,93785.40,99496.50,100446.00,106146.90,109730.40,112157.00,114540.10,119414.60,124604.70,129648.60,133243.50,139722.50,143990.80,144720.00,153670.50,162314.40
Florida,705851.90,750523.80,782712.50,763341.50,735421.00,746928.90,755240.00,778545.00,811751.70,851692.40,908519.90,953352.50,1003144.00,1057255.40,1111392.20,1116726.80,1255558.30,1389069.70
Georgia,389537.70,406015.60,419606.30,416377.60,409590.80,418091.30,431653.90,447764.70,464752.80,490079.30,521008.20,547546.70,573777.20,602366.40,637992.50,625425.70,691626.90,755697.90
Hawaii,57369.40,60846.50,64163.60,65678.20,64549.70,66872.90,69083.90,71905.30,74554.90,76773.30,81230.30,83914.40,87217.40,90330.80,91912.70,82535.50,91096.10,98218.80
