State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,1.5885E+11,1.6647E+11,1.7298E+11,1.7453E+11,1.7093E+11,1.7725E+11,1.8392E+11,1.8925E+11,1.9479E+11,1.9741E+11,2.0237E+11,2.0737E+11,2.1461E+11,2.2386E+11,2.3156E+11,2.3089E+11,2.5411E+11,2.7782E+11
Alaska,4.0357E+10,4.5094E+10,4.9584E+10,5.5123E+10,4.9958E+10,5.3332E+10,5.6896E+10,5.8284E+10,5.7248E+10,5.6485E+10,5.1491E+10,5.0728E+10,5.3302E+10,5.49E+10,5.4728E+10,5.0475E+10,5.7349E+10,6.3618E+10
Arizona,2.2792E+11,2.4596E+11,2.6139E+11,2.6293E+11,2.4642E+11,2.5115E+11,2.6092E+11,2.7144E+11,2.7859E+11,2.8767E+11,2.9939E+11,3.1308E+11,3.32E+11,3.5188E+11,3.7239E+11,3.8207E+11,4.2003E+11,4.5895E+11
Arkansas,9.0888E+10,9.5875E+10,9.8382E+10,9.9707E+10,9.7508E+10,1.0149E+11,1.0577E+11,1.0849E+11,1.1323E+11,1.1614E+11,1.1779E+11,1.1915E+11,1.2247E+11,1.2754E+11,1.3158E+11,1.3397E+11,1.4868E+11,1.6522E+11
California,1.6986E+12,1.8122E+12,1.8989E+12,1.9447E+12,1.8902E+12,1.9541E+12,2.0235E+12,2.1131E+12,2.2204E+12,2.3353E+12,2.4736E+12,2.5696E+12,2.7287E+12,2.8972E+12,3.0427E+12,3.0202E+12,3.3732E+12,3.5981E+12
Colorado,2.2078E+11,2.3265E+11,2.4845E+11,2.5887E+11,2.5123E+11,2.583E+11,2.6752E+11,2.7682E+11,2.9214E+11,3.0954E+11,3.2072E+11,3.2991E+11,3.4916E+11,3.7221E+11,3.9453E+11,3.9126E+11,4.3636E+11,4.8437E+11
Connecticut,2.0521E+11,2.1977E+11,2.3454E+11,2.3894E+11,2.3329E+11,2.347E+11,2.3316E+11,2.4091E+11,2.4152E+11,2.466E+11,2.5949E+11,2.6367E+11,2.7144E+11,2.7992E+11,2.8854E+11,2.7622E+11,2.984E+11,3.2184E+11
Delaware,5.2154E+10,5.5174E+10,5.6613E+10,5.546E+10,5.785E+10,5.8164E+10,6.1372E+10,6.2355E+10,6.1716E+10,6.8355E+10,7.1914E+10,6.9355E+10,6.8303E+10,7.2168E+10,7.6924E+10,7.5819E+10,8.116E+10,8.7525E+10
District of Columbia,8.4868E+10,8.8125E+10,9.3785E+10,9.9497E+10,1.0045E+11,1.0615E+11,1.0973E+11,1.1216E+11,1.1454E+11,1.1941E+11,1.246E+11,1.2965E+11,1.3324E+11,1.3972E+11,1.4399E+11,1.4472E+11,1.5367E+11,1.6231E+11
Florida,7.0585E+11,7.5052E+11,7.8271E+11,7.6334E+11,7.3542E+11,7.4693E+11,7.5524E+11,7.7855E+11,8.1175E+11,8.5169E+11,9.0852E+11,9.5335E+11,1.0031E+12,1.0573E+12,1.1114E+12,1.1167E+12,1.2556E+12,1.3891E+12
