State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,53550,53170,57660,58600,52890,53420,53900,53970,58050,51140,53880,56660,59980,57720,64010,61650,61390,59910
Alaska,80570,79030,86040,84310,81490,75490,72690,79030,88910,81800,90920,90860,91960,79450,89290,84260,87490,89740
Arizona,65220,65360,64490,61810,60510,61200,61540,58410,64540,59580,63250,68510,70390,71990,80500,75620,76370,73450
Arkansas,52840,51910,55720,52160,48330,50350,52270,48450,48310,54340,51810,55080,58660,57540,62120,57240,54760,53980
California,74610,77490,76120,75120,74260,70840,67540,70800,74580,73170,77030,79960,82580,81480,88960,87530,87960,85300
Colorado,72720,78020,83510,80290,73990,78600,74200,71090,83310,73710,80610,84670,88420,84420,82580,94440,91610,89930
Connecticut,81930,87420,87610,85220,85790,86120,82790,79770,85010,84870,88230,91100,87620,84160,99420,89540,87300,90730
Delaware,73860,73460,74560,66800,68940,72050,69180,60810,66360,69580,69910,69650,76600,75140,84510,78930,74070,80750
Florida,61970,63990,62550,59100,60360,57500,57090,57210,59540,55810,59100,61400,62600,63160,66480,65110,64410,65370
Georgia,66200,69120,66440,60910,57330,57570,58190,59750,57650,59940,61450,64230,68370,64520,64500,66810,66310,67730
Hawaii,85890,84710,87440,81060,73620,77700,74730,69860,78800,86150,78090,86550,86780,92590,100200,91110,88630,91010
Idaho,63680,64740,67180,62480,61880,61400,60070,59500,59460,64640,62490,67870,70160,67880,75160,75220,82940,72580
Illinois,69770,68180,71710,70160,69940,66200,64090,64240,66170,66430,73130,73650,77790,81080,84740,83790,85460,78020
Indiana,61170,63610,64810,61290,58610,60210,56250,57310,60670,58130,62930,67310,69290,69230,75960,75310,75690,70030
Iowa,67030,67420,66800,66060,67100,63960,63560,66360,73800,69930,73660,70900,74840,79430,75240,77570,78100,76320
Kansas,60580,63810,66240,63080,59150,60100,58410,62090,58670,64650,66410,68160,67090,73900,83320,82380,81930,73040
Kentucky,52900,55310,53890,54210,56440,53640,50440,51020,55060,51750,51310,54440,58570,63060,63400,63980,59980,55880
Louisiana,53680,51110,56430,52130,60100,51280,51460,48530,56950,51290,55590,50630,51370,57760,58890,57700,61690,58330
Maine,63320,63940,65420,62220,62840,62550,62890,61040,67420,62550,61440,61020,62870,67810,75800,71800,76710,75160
Maryland,87230,89190,89640,83940,84910,83780,87170,89200,85080,92130,89090,88500,96800,99660,108900,106900,105000,108200
Massachusetts,80750,77510,79850,79470,78540,79520,80130,79040,76710,76390,82150,86710,89900,99800,99900,98980,93340,93550
Michigan,66210,68150,67430,65600,60840,60390,61860,62100,69400,62910,65610,68500,66510,69870,73030,72590,69540,68990
Minnesota,78150,78740,79300,72370,74200,68280,73180,76730,78910,81340,83200,84250,82510,83010,92740,88770,86740,90390
Mississippi,47390,48660,50920,48020,46400,49800,52010,45500,39670,42970,48460,49310,51030,49450,51010,50880,50290,48610
Missouri,61970,62450,62840,60660,64510,59790,57930,61790,56800,68500,71660,66010,66660,71350,69020,70090,68570,71520
Montana,53790,57580,59630,56520,53490,53870,50980,55980,53000,61810,62210,68480,67690,66670,68560,63960,70090,72980
Nebraska,69080,67440,67160,66840,65610,68510,70390,64810,70690,68790,73200,71240,70260,78110,83230,81440,84220,78360
Nevada,69490,73240,73830,72130,68040,66810,59540,58770,63600,60330,62960,66510,68440,71510,80760,68950,69380,72330
New Hampshire,82140,86810,92300,87190,84840,86950,83380,84210,84770,88780,91600,91500,89180,94020,98980,100200,95800,84970
New Jersey,91350,95340,82640,86040,85690,82170,78900,82810,78210,78920,82750,82150,84000,85740,99920,96430,95490,92340
New Mexico,56140,56070,60580,55470,57600,58900,53130,53920,49280,56470,54620,58130,53770,55810,60500,57380,57650,56420
New York,68010,67550,66850,66480,66430,64960,64090,59200,61300,65690,70210,73720,72570,77760,81840,77400,78630,75910
North Carolina,60620,55750,59430,56560,55440,57200,57210,51600,56850,56590,61490,64510,58420,61690,69660,68120,67820,65070
North Dakota,60820,57500,64470,65390,66240,66560,71330,69240,72570,73460,69500,72210,70950,76870,79760,72270,74280,78720
Ohio,63720,64300,67060,61840,60690,59880,56510,55100,62260,60050,64520,64770,71560,71240,73650,68060,67600,67520
Oklahoma,54270,54410,59030,60750,60690,56250,61330,60110,56630,57090,56990,61120,61180,62920,67650,59150,64800,63440
Oregon,63660,65970,68610,68150,64950,66030,65210,64290,60110,71220,73640,70950,73690,79950,84760,86630,88260,86780
Pennsylvania,66740,67910,66160,67720,63720,63050,63170,64450,67670,66740,73100,73170,72260,74580,80390,79800,78310,72210
Rhode Island,71330,75280,74040,70150,68300,67370,62060,69610,69100,70920,67430,73830,77120,71970,79900,90380,80850,80650
South Carolina,57990,55500,60390,55540,54370,54410,50730,55130,53440,54350,56120,65200,64310,66400,70650,68020,67440,61770
South Dakota,62200,63640,63400,67980,60620,59180,59770,61360,65530,64170,66660,68930,67110,68730,73190,79120,79680,67180
Tennessee,56800,57010,56270,52310,53600,50360,53510,53390,53200,52880,57290,61610,65210,64800,64500,61970,67030,65380
Texas,59710,60670,62900,61250,62800,61680,62080,64480,63070,65170,68360,69770,70860,69100,76820,77110,72680,74640
Utah,79010,76530,73110,82390,77370,73990,70230,72440,74890,76670,80200,80970,82290,89080,96270,94680,94510,95800
Vermont,73090,72820,64730,66810,69210,72980,65640,69010,80370,73430,72020,73000,75090,80990,84630,75810,82040,72190
Virginia,74840,80020,80800,81670,80030,78780,79250,80250,80850,80020,74430,79730,83500,89180,92610,92670,86550,85170
Washington,73010,76660,79330,74610,79890,73290,71950,77220,78420,71450,81400,84360,84360,92150,93910,91710,94510,89430
West Virginia,52540,53820,57490,50060,53560,55820,52930,54080,52840,47840,51840,53220,55370,58460,61170,58580,50500,52460
Wisconsin,64360,72410,70040,67460,67780,65710,65890,65910,63460,70250,67090,71770,74850,72390,76720,75980,75420,73330
Wyoming,64460,65900,66580,70270,69410,68120,68990,71410,82740,67360,73750,69390,70200,72290,74190,73780,76620,73090
District of Columbia,64860,67910,69360,73240,70300,74290,69930,81010,73680,82590,84820,85170,95840,99110,106100,99440,97740,101700
