State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,5.15,5.15,5.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alaska,7.15,7.15,7.15,7.15,7.25,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.80,9.84,9.89,10.19,10.34,10.34,10.85
Arizona,5.15,5.15,6.75,6.90,7.25,7.25,7.35,7.65,7.80,7.90,8.05,8.05,10.00,10.50,11.00,12.00,12.15,12.80,13.85
Arkansas,5.15,5.15,6.25,6.25,7.25,7.25,7.25,7.25,7.25,7.25,7.50,8.00,8.50,8.50,9.25,10.00,11.00,11.00,11.00
California,6.75,6.75,7.5,8.00,8.00,8.00,8.00,8.00,8.00,9.00,9.00,10.00,10.50,11.00,12.00,13.00,14.00,15.00,15.50
Colorado,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8.00,8.23,8.31,9.30,10.20,11.10,12.00,12.32,12.56,13.65
Connecticut,7.1,7.4,7.65,7.65,8.00,8.25,8.25,8.25,8.25,8.70,9.15,9.60,10.10,10.10,10.10,12.00,13.00,14.00,15.00
Delaware,6.15,6.15,6.65,7.15,7.25,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,8.75,9.25,9.25,10.50,11.75
District of Columbia,6.6,7,7,7.55,8.25,8.25,8.25,8.25,8.25,9.50,10.50,11.50,12.50,13.25,14.00,15.00,15.20,16.10,17.00
Florida,5.15,5.15,6.4,6.79,7.25,7.25,7.31,7.67,7.79,7.93,8.05,8.05,8.10,8.25,8.46,8.56,8.65,11.00,12.00
Georgia,5.15,5.15,5.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Hawaii,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.50,9.25,10.10,10.10,10.10,10.10,12.00,12.00
Idaho,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,6.5,6.5,6.5,7.50,7.75,8.00,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,10.00,11.00,12.00,13.00
